TASK,QUESTION HINT,ANSWER
GA1.1,What is the output of code -s?,"Version:          Code 1.96.3 (91fbdddc47bc9c09064bf7acf133d22631cbf083, 2025-01-09T18:14:09.060Z)
OS Version:       Windows_NT x64 10.0.22631
CPUs:             AMD Ryzen 5 7520U with Radeon Graphics          (8 x 2795)
Memory (System):  7.21GB (0.76GB free)
VM:               0%
Screen Reader:    no
Process Argv:     --crash-reporter-id d0c9ba8f-ee40-4f58-970a-ac33f94641b8
GPU Status:       2d_canvas:                              enabled
                  canvas_oop_rasterization:               enabled_on
                  direct_rendering_display_compositor:    disabled_off_ok
                  gpu_compositing:                        enabled
                  multiple_raster_threads:                enabled_on
                  opengl:                                 enabled_on
                  rasterization:                          enabled
                  raw_draw:                               disabled_off_ok
                  skia_graphite:                          disabled_off
                  video_decode:                           enabled
                  video_encode:                           enabled
                  vulkan:                                 disabled_off
                  webgl:                                  enabled
                  webgl2:                                 enabled
                  webgpu:                                 enabled
                  webnn:                                  disabled_off

CPU % Mem MB    PID Process
    0     48  16064 code main
    0     12   5204    utility-network-service
    0     14   7248 fileWatcher [1]
    0     28  10560 ptyHost
    0      6   3520      conpty-agent
    0     13   6920      C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\RAGHU CRIAT\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0      6  10736      conpty-agent
    0      5  10748      C:\Windows\System32\cmd.exe
    0     81  14424        electron-nodejs (cli.js )
    0    107   5760          ""C:\Users\RAGHU CRIAT\AppData\Local\Programs\Microsoft VS Code\Code.exe"" -s
    0     62   7136            crashpad-handler
    0     55  18872            gpu-process
    0      5  14876      C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\RAGHU CRIAT\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0      6  14880      conpty-agent
    0     14  17416      C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\RAGHU CRIAT\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0      6  23188      conpty-agent
    1    120  12044    gpu-process
    0      8  13808    crashpad-handler
    0    116  14464 extensionHost [1]
    0     14   2416      electron-nodejs (bundle.js )
    0    153  16160 window [1] (? out.py - 007 PYTHON (Workspace) - Visual Studio Code)
    0     27  17184 shared-process

Workspace Stats: 
|  Window (? out.py - 007 PYTHON (Workspace) - Visual Studio Code)
|    Folder (007 PYTHON): more than 20741 files
|      File types: py(6633) pyc(6600) pyi(2138) pyd(231) h(162) txt(159)
|                  a(113) mat(109) gz(99) lib(87)
|      Conf files:"
GA1.2,Send a HTTPS request to https://httpbin.org/get,"{     ""args"": {         ""email"": ""21f3002034@ds.study.iitm.ac.in""     },     ""headers"": {         ""Accept"": ""*/*"",         ""Accept-Encoding"": ""gzip, deflate"",         ""Host"": ""httpbin.org"",         ""User-Agent"": ""HTTPie/3.2.4"",         ""X-Amzn-Trace-Id"": ""Root=1-6787bb76-24cb9ddb7c0f7e20592b38d8""     },     ""origin"": ""110.224.90.177"",     ""url"": ""https://httpbin.org/get?email=21f3002034%40ds.study.iitm.ac.in"" }"
GA1.3,run npx -y prettier@3.4.2,21049196c5c1b0fcd2f03c7c75312e28a28f14d30e1880a8f48056aa43a07126
GA1.4,formulas in Google Sheets,510
GA1.5,formulas in Excel,80
GA1.6,value in the hidden input,hnehz95lpn
GA1.7,are there in the date range,1696
GA1.8,column of the CSV file,a1f3e
GA1.9,Sort this JSON array,"[{""name"":""Karen"",""age"":4},{""name"":""Frank"",""age"":29},{""name"":""Henry"",""age"":38},{""name"":""Mary"",""age"":42},{""name"":""Grace"",""age"":44},{""name"":""Emma"",""age"":47},{""name"":""David"",""age"":50},{""name"":""Oscar"",""age"":50},{""name"":""Jack"",""age"":62},{""name"":""Paul"",""age"":62},{""name"":""Alice"",""age"":74},{""name"":""Nora"",""age"":82},{""name"":""Bob"",""age"":87},{""name"":""Ivy"",""age"":91},{""name"":""Liam"",""age"":91},{""name"":""Charlie"",""age"":92}]"
GA1.10,convert it into a single JSON object,d3b954a1c826d6414a666e74ffb23a0408c6f263447d83f5b3c762ac3e24c938
GA1.11,Sum of data-value attributes,354
GA1.12,What is the sum of all values associated with these symbols?,39332
GA1.13,Enter the raw Github URL of email.json so we can verify it,https://raw.githubusercontent.com/Telvinvarghese/GA1/main/email.json
GA1.14,What does running cat * | sha256sum in that folder show in bash?,66435d5c93604bb544462eb87abca13621bb5687d95a4fb6d272ca21a67d9367
GA1.15,What's the total size of all file,91718
GA1.16,What does running grep . * | LC_ALL=C sort | sha256sum in bash on that folder show?,e2ec363beebf1832123cee007997377d618d39f4551a44266d6947aad324b8b6
GA1.17,How many lines are different,17
GA1.18,What is the total sales of all the items in the,"SELECT SUM(units*price) AS TOTAL
FROM tickets t
WHERE t.type like '%gold%'"
